DATE,VALUE
2023-05-23T01:09:42.166969,58
2023-05-23T01:09:47.262503,51
2023-05-23T01:09:52.375112,49
2023-05-23T01:10:02.572540,50
2023-05-23T01:10:07.750890,51
2023-05-23T01:10:17.412523,52
2023-05-23T01:10:22.538826,53
2023-05-23T01:10:32.784426,54
2023-05-23T01:10:48.137310,55
2023-05-23T01:11:08.117754,56
2023-05-23T01:11:33.185096,57
2023-05-23T01:12:43.877385,58
2023-05-23T04:58:34.013067,66
2023-05-23T04:58:43.612226,57
2023-05-23T04:59:04.094959,54
2023-05-23T04:59:10.745234,69
2023-05-23T04:59:17.174272,56
2023-05-23T04:59:19.471732,48
2023-05-23T04:59:24.610754,46
2023-05-23T04:59:49.118187,47
2023-05-23T04:59:49.435141,48
2023-05-23T04:59:54.760694,49
2023-05-23T04:59:59.903702,50
2023-05-23T05:00:11.140837,51
2023-05-23T05:00:14.731524,52
2023-05-23T05:00:25.019496,53
2023-05-23T05:00:40.355880,54
2023-05-23T05:00:45.574229,60
2023-05-23T05:00:50.114869,53
2023-05-23T05:00:55.210402,51
2023-05-23T05:01:00.317050,52
2023-05-23T05:01:15.683698,53
2023-05-23T05:01:25.930509,54
2023-05-23T05:01:40.786403,55
2023-05-23T05:02:01.275242,67
2023-05-23T05:02:05.915263,69
2023-05-23T05:02:16.112719,70
2023-05-23T05:02:21.213215,71
2023-05-23T05:02:26.333533,72
2023-05-23T05:02:31.446769,73
2023-05-23T05:02:36.605072,48
2023-05-23T05:02:41.809536,43
2023-05-23T05:02:51.453583,44
2023-05-23T05:02:56.548916,45
2023-05-23T05:03:01.637559,46
2023-05-23T05:03:06.800288,47
2023-05-23T05:03:17.040426,49
2023-05-23T05:03:27.269239,50
2023-05-23T05:03:36.996719,51
2023-05-23T05:03:47.229236,52
2023-05-23T05:03:57.469732,53
2023-05-23T05:04:07.735673,54
2023-05-23T05:04:12.358085,55
2023-05-23T05:04:39.455690,56
2023-05-23T05:05:18.427396,57
2023-05-23T05:06:13.676809,58
2023-05-23T05:25:25.295305,59
2023-05-23T05:25:45.743771,58
2023-05-23T05:27:16.378498,59
2023-05-23T05:27:21.498668,58
2023-05-23T05:27:26.627403,59
2023-05-23T05:27:56.855116,58
2023-05-23T05:28:01.954899,59
2023-05-23T05:29:02.381479,58
